"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"Jose Tabata","Hitter",457.5,356,252.5,461.5,339,373.3,5,,,,,,
"Jurickson Profar","Hitter",508,432.5,259,424,237,372.1,5,,,,,,
"Ryan Westmoreland","Hitter",0,0,0,372,0,372,1,,,,,,
"John Jaso","Hitter",317.5,451,310.5,362.5,415.5,371.4,5,,,,,,
"Logan Forsythe","Hitter",347.5,418,300,370.5,419,371,5,,,,,,
"John Axford","Pitcher",230,534,439,234,411,369.6,5,,,,,,
"Jose Guillen","Hitter",0,0,0,368,0,368,1,,,,,,
"Everth Cabrera","Hitter",352,419.5,311,368.5,389,368,5,,,,,,
"Alex Cobb","Pitcher",354,411,320,403,352,368,5,,,,,,
"Emilio Bonifacio","Hitter",322,395.5,260,397,459.5,366.8,5,,,,,,
"Tyler Colvin","Hitter",427,437.5,337.5,376.5,253.5,366.4,5,,,,,,
"Wade Davis","Pitcher",376,417,305,329,403,366,5,,,,,,
"Yazy Arbelo","Hitter",0,0,375,355.5,0,365.25,2,,,,,,
"Cristian Guzman","Hitter",0,0,0,364.5,0,364.5,1,,,,,,
"Tom Wilhelmsen","Pitcher",224,535,440,215,407,364.2,5,,"mine",,,,
"Zach McAllister","Pitcher",334,412,308,418,349,364.2,5,,,,,,
"Chris Tillman","Pitcher",435,383,279,382,326,361,5,,,,,,
"Drew Stubbs","Hitter",414.5,405,293.5,425.5,259,359.5,5,,,,,,
"Jamey Carroll","Hitter",343.5,432,354.5,351.5,315.5,359.4,5,,,,,,
"Stephen Drew","Hitter",365.5,427,292,360,351,359.1,5,,,,,,
"Dan Straily","Pitcher",444,404,291,435,221,359,5,,,,,,
"Greg Holland","Pitcher",261,488,401,231,412,358.6,5,,,,,,
"Alen Hanson","Hitter",0,0,361,355.5,0,358.25,2,,,,,,
"Josh Donaldson","Hitter",415.5,431.5,327,425,191.5,358.1,5,,,,,,
