Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Rafael Bautista,0,0,49.5,0,0,49.5,1
Carlos Esqueda,0,0,51.0,187.0,0,119.0,2
Yovan Gonzalez,0,0,54.5,212.0,0,133.25,2
Yimmy Lopez,0,0,48.0,160.0,0,104.0,2
Ryan Baker,0,0,0,154.5,0,154.5,1
Travis Shaw,421.5,0,77.5,426.0,0,308.3333333333333,3
Hengelbert Rojas,0,0,46.0,0,0,46.0,1
Michel Hernandez,126.0,0,67.5,0,0,96.75,2
Daniel Mateo,0,0,57.5,277.0,0,167.25,2
Yordi Calderon,0,0,39.0,128.5,0,83.75,2
Brock Stassi,0,0,63.0,308.0,0,185.5,2
Cesar Perez,0,0,40.0,0,0,40.0,1
Matt Carpenter,395.0,415.5,262.0,452.0,218.0,348.5,5
Zachary Green,0,0,0,163.5,0,163.5,1
Jonathan Rodriguez,0,0,58.0,321.5,0,189.75,2
Ryan Court,0,0,48.0,318.5,0,183.25,2
Andy Parrino,295.5,0,66.0,369.5,0,243.66666666666666,3
Jhoan Pimentel,0,0,55.0,0,0,55.0,1
Craig Albernaz,0,0,54.0,174.0,0,114.0,2
Ulises Montilla,0,0,56.5,259.5,0,158.0,2
Wander Ramos,0,0,46.0,222.0,0,134.0,2
Alejandro Torres,0,0,49.0,175.0,0,112.0,2
Kentrell Hill,0,0,47.0,199.5,0,123.25,2
Austin Elkins,0,0,50.0,0,0,50.0,1
Hector Guevara,0,0,58.0,264.5,0,161.25,2
Jorge Agudelo,0,0,65.5,0,0,65.5,1
Jeff Salazar,209.5,0,67.0,0,0,138.25,2
Edul Escobar,0,0,52.5,0,0,52.5,1
Wil Myers,505.5,410.0,271.0,470.5,248.0,381.0,5
Chih-Hsien Chiang,387.5,0,69.5,0,0,228.5,2
Jonathan Murphy,0,0,0,233.5,0,233.5,1
Geoff Blum,44.0,0,73.5,170.5,0,96.0,3
Francisco Esparragoza,0,0,53.0,0,0,53.0,1
Raudy Read,0,0,45.5,0,0,45.5,1
Fray Sosa,0,0,0,161.0,0,161.0,1
Andres Torres,323.0,348.5,260.5,379.5,221.5,306.6,5
Austin Krum,0,0,67.5,0,0,67.5,1
Bradley Valdez,0,0,41.5,0,0,41.5,1
Jeremy Moore,0,0,79.0,431.5,0,255.25,2
Sandy Guerrero,0,0,42.0,0,0,42.0,1
Jared Prince,0,0,71.5,378.5,0,225.0,2
Cole Leonida,0,0,38.5,200.5,0,119.5,2
Stefen Romero,428.5,0,76.5,394.0,0,299.6666666666667,3
Angelo Castellano,0,0,52.5,0,0,52.5,1
Mychal Givens,0,0,59.5,320.5,0,190.0,2
James Mcowen,0,0,69.0,0,0,69.0,1
Nikolas Balog,0,0,0,193.5,0,193.5,1
Steve Moss,0,0,72.5,0,0,72.5,1
Barbaro Canizares,0,0,86.5,0,0,86.5,1
Joel Serna,0,0,52.0,0,0,52.0,1
Zack Cozart,471.5,484.0,350.5,416.5,492.5,443.0,5
Freddie Freeman,611.5,641.0,568.0,564.0,633.0,603.5,5
Ron Rivas,0,0,68.0,0,0,68.0,1
Douglas Landaeta,0,0,52.0,0,0,52.0,1
Dan Brewer,0,0,71.0,293.5,0,182.25,2
Steve Susdorf,0,0,73.0,351.5,0,212.25,2
Jose Solano,0,0,44.5,229.5,0,137.0,2
Yermin Mercedes,0,0,50.5,0,0,50.5,1
Logan Moore,0,0,46.5,187.0,0,116.75,2
Scott Podsednik,187.0,0,77.0,294.0,0,186.0,3
Derek Jeter,458.5,527.0,459.0,507.0,493.5,489.0,5
Cosme Valle,0,0,51.5,0,0,51.5,1
Matt Olson,0,0,48.0,190.5,0,119.25,2
Kevin Torres,0,0,53.0,206.5,0,129.75,2
Miguel Torres,0,0,54.5,0,0,54.5,1
Brett Nommensen,0,0,68.5,321.5,0,195.0,2
Jalen Harris,0,0,39.0,155.0,0,97.0,2
Maxwell Leon,0,0,70.0,0,0,70.0,1
Hak-Ju Lee,409.5,0,66.5,398.0,0,291.3333333333333,3
Pin-Chieh Chen,0,0,58.5,304.5,0,181.5,2
Joe Witkowski,0,0,0,199.5,0,199.5,1
Brandon Snyder,289.0,0,113.0,303.0,0,235.0,3
Wade Gaynor,0,0,65.0,374.5,0,219.75,2
Wilfrel Estevez,0,0,47.0,0,0,47.0,1
Irving Falu,388.5,0,77.5,481.5,0,315.8333333333333,3
Drew Sutton,225.5,0,68.0,294.5,0,196.0,3
Jhoan Urena,0,0,46.0,0,0,46.0,1
Scott Rolen,229.0,0,75.0,310.0,286.0,225.0,4
Gustavo Pierre,0,0,46.0,245.5,0,145.75,2
Josh Romanski,0,0,0,328.0,0,328.0,1
Blake Brown,0,0,36.5,212.0,0,124.25,2
Jayson Nix,226.5,0,71.0,283.0,96.5,169.25,4
Rajai Davis,381.5,283.5,167.0,411.5,251.0,298.9,5
Gari Pena,0,0,44.0,181.0,0,112.5,2
Yucarybert De La Cruz,0,0,46.5,195.0,0,120.75,2
Scott Kalush,0,0,0,167.0,0,167.0,1
Kevin Howard,237.5,0,73.0,0,0,155.25,2
Kenny Socorro,0,0,0,263.5,0,263.5,1
Tim Wheeler,390.5,0,79.0,422.0,0,297.1666666666667,3
Alex Machillanada,0,0,0,160.0,0,160.0,1
Ryan Theriot,361.5,0,148.0,371.0,255.0,283.875,4
Jeremy Rathjen,0,0,50.5,300.0,0,175.25,2
Jeimer Candelario,0,0,52.0,306.5,0,179.25,2
Jose Roman,0,0,51.5,0,0,51.5,1
Luis Nunez,0,0,69.0,0,0,69.0,1
Luis Sardinas,0,0,61.5,230.0,0,145.75,2
Kevin Heller,0,0,0,164.0,0,164.0,1
Joel Licon,0,0,0,201.5,0,201.5,1
Pedro Zapata,0,0,57.0,315.5,0,186.25,2
Chadd Krist,0,0,53.0,331.0,0,192.0,2
Alden Carrithers,0,0,71.0,321.0,0,196.0,2
Aubrey Huff,202.5,0,238.0,370.0,228.0,259.625,4
Martin Prado,606.0,645.0,589.0,550.5,590.5,596.2,5
Jose Guillen,0,0,0,368.0,0,368.0,1
Matt Camp,0,0,67.5,0,0,67.5,1
Darin Ruf,459.5,333.0,183.0,527.0,240.5,348.6,5
Justin Trapp,0,0,55.0,297.0,0,176.0,2
Mike Nemeth,0,0,49.0,0,0,49.0,1
Jeff Bianchi,344.5,0,71.0,346.0,0,253.83333333333334,3
Joseph Bowen,0,0,65.0,0,0,65.0,1
Kevin Weijgertse,0,0,44.0,201.0,0,122.5,2
Josh Mcadams,0,0,0,139.5,0,139.5,1
Dionicio De La Cruz,0,0,40.5,0,0,40.5,1
Gabe Suarez,0,0,62.5,0,0,62.5,1
Buck Coats,0,0,72.0,0,0,72.0,1
Ryan Schimpf,0,0,65.5,349.5,0,207.5,2
Jose Cuevas,0,0,66.5,263.5,0,165.0,2
James Jones,0,0,57.5,382.5,0,220.0,2
Kyung-Min Na,0,0,53.5,188.5,0,121.0,2
Cristian Otero,0,0,0,129.0,0,129.0,1
Jamie Romak,0,0,70.0,0,0,70.0,1
D'vone Mcclure,0,0,0,143.0,0,143.0,1
David Remedios,0,0,0,155.0,0,155.0,1
Jared Reaves,0,0,50.5,229.0,0,139.75,2
Paul Hoenecke,0,0,0,239.0,0,239.0,1
Curtis Granderson,580.0,577.0,493.5,530.0,648.0,565.7,5
Mike Baxter,278.0,365.5,234.0,325.5,277.5,296.1,5
Josh Barfield,262.5,0,70.0,0,0,166.25,2
Jake Davies,0,0,51.0,279.0,0,165.0,2
